ion,total,total_err,comp1,comp1_err,comp2,comp2_err
H,21.26,0.18,,,,
Mg,15.25,0.05,14.41,0.11,15.18,0.05
Si,15.39,0.02,14.48,0.07,15.34,0.03
Ti,11.56,0.03,10.69,0.08,11.5,0.03
Fe,14.48,0.02,13.81,0.06,14.37,0.02
Zn,13.13,0.05,12.87,0.08,12.78,0.13
Ni,13.26,0.04,12.59,0.08,13.15,0.05
Cu,11.9,0.14,11.66,0.11,11.52,0.11
# O,17.82,0,17.76,0.02,,
Ge,11.94,0.11,11.89,0.06,,
